# This file contains input output values for the DOM efficiency distribution (eff vs. wavelength)
3e-07	0.0
3.1e-07	0.0
3.2e-07	0.0003779274007812844
3.3e-07	0.005582911244803814
3.4e-07	0.020000501860217824
3.5e-07	0.03664043399765936
3.6e-07	0.04955334547344834
3.7e-07	0.05683652693754303
3.8e-07	0.05670987372083079
3.9e-07	0.05602044253121619
4e-07	0.0592119414005465
4.1e-07	0.06104582795977292
4.2e-07	0.060164783277399
4.3e-07	0.059908902744860285
4.4e-07	0.058913657550437946
4.5e-07	0.05731795297404905
4.6e-07	0.05540021020720639
4.7e-07	0.05298119642613589
4.8e-07	0.04971440261491856
4.9e-07	0.04685911300577107
5e-07	0.04492879455684424
5.1e-07	0.043038306184274705
5.2e-07	0.040263795685025146
5.3e-07	0.03433414656643928
5.4e-07	0.026705925502985797
5.5e-07	0.021377257914494588
5.6e-07	0.018151518664130815
5.7e-07	0.01583339290131632
5.8e-07	0.01362226725168285
5.9e-07	0.0114598192305727
6e-07	0.00922001302694637
6.1e-07	0.007161684310949808
6.2e-07	0.0052484158408232515
