# This file contains input output values for the DOM efficiency distribution (eff vs. wavelength)
2.6e-07 7.534662463015658e-05
2.7e-07 7.534662463015658e-05
2.8e-07 7.534662463015658e-05
2.9e-07 7.534662463015658e-05
3e-07 2.5667505802220044e-05
3.1e-07 0.0015636859403732816
3.2e-07 0.0064890560926676236
3.3e-07 0.019797144033896107
3.4e-07 0.042036087641606684
3.5e-07 0.07163184288732483
3.6e-07 0.08710684986593535
3.7e-07 0.10577604831956011
3.8e-07 0.11589696306192866
3.9e-07 0.12351348595063749
4e-07 0.1295765291774403
4.1e-07 0.1333752733255123
4.2e-07 0.1336216720390823
4.3e-07 0.13023748496834373
4.4e-07 0.1262192007342473
4.5e-07 0.12198254418054147
4.6e-07 0.1164999976386469
4.7e-07 0.1087219726547403
4.8e-07 0.10219894623705963
4.9e-07 0.09718829410347611
5e-07 0.09314945718047528
5.1e-07 0.08831245191280578
5.2e-07 0.07751283133002547
5.3e-07 0.06228375595841892
5.4e-07 0.05113579065403705
5.5e-07 0.04388874905904172
5.6e-07 0.038863032738704395
5.7e-07 0.03411337639887866
5.8e-07 0.02958524534798292
5.9e-07 0.024657854959790587
6e-07 0.02027627859398031
6.1e-07 0.015826387892891154
6.2e-07 0.012315965272688531
6.3e-07 0.008409109309913676
6.4e-07 0.0056564503164199045
6.5e-07 0.0033994964884395264
6.6e-07 0.0020813217591608194
6.7e-07 0.001336275108711574
6.8e-07 0.0005945741090413715
